id,sku_id,product_name,price,sub_category_id,last_updated_at
1,FUR-BO-10000112,Bush Birmingham Collection Bookcase; Dark Cherry,91.69,5,2024-12-13
2,FUR-BO-10000330,Sauder Camden County Barrister Bookcase; Planked Cherry Finish,102.83,5,2024-12-13
3,FUR-BO-10000362,Sauder Inglewood Library Bookcases,145.33,5,2024-12-13
4,FUR-BO-10000468,OSullivan 2-Shelf Heavy-Duty Bookcases,38.86,5,2024-12-13
5,FUR-BO-10000711,Hon Metal Bookcases; Gray,70.98,5,2024-12-13
6,FUR-BO-10000780,OSullivan Plantations 2-Door Library in Landvery Oak,100.49,5,2024-12-13
7,FUR-BO-10001337,OSullivan Living Dimensions 2-Shelf Bookcases,102.83,5,2024-12-13
8,FUR-BO-10001519,OSullivan 3-Shelf Heavy-Duty Bookcases,58.14,5,2024-12-13
9,FUR-BO-10001567,Bush Westfield Collection Bookcases; Dark Cherry Finish; Fully Assembled,30.29,5,2024-12-13
10,FUR-BO-10001601,Sauder Mission Library with Doors; Fruitwood Finish,111.33,5,2024-12-13
11,FUR-BO-10001608,Hon Metal Bookcases; Black,48.27,5,2024-12-13
12,FUR-BO-10001619,OSullivan Cherrywood Estates Traditional Bookcase,67.98,5,2024-12-13
13,FUR-BO-10001798,Bush Somerset Collection Bookcase,111.33,5,2024-12-13
14,FUR-BO-10001811,Atlantic Metals Mobile 5-Shelf Bookcases; Custom Colors,204.67,5,2024-12-13
15,FUR-BO-10001918,Sauder Forest Hills Library with Doors; Woodland Oak Finish,80.49,5,2024-12-13
16,FUR-BO-10001972,OSullivan 4-Shelf Bookcase in Odessa Pine,36.29,5,2024-12-13
17,FUR-BO-10002202,Atlantic Metals Mobile 2-Shelf Bookcases; Custom Colors,72.29,5,2024-12-13
18,FUR-BO-10002206,Bush Saratoga Collection 5-Shelf Bookcase; Hanover Cherry; *Special Order,119.83,5,2024-12-13
19,FUR-BO-10002213,DMI Eclipse Executive Suite Bookcases,400.78,5,2024-12-13
20,FUR-BO-10002268,Sauder Barrister Bookcases,24.29,5,2024-12-13
21,FUR-BO-10002545,Atlantic Metals Mobile 3-Shelf Bookcases; Custom Colors,130.49,5,2024-12-13
22,FUR-BO-10002598,Hon Metal Bookcases; Putty,70.98,5,2024-12-13
23,FUR-BO-10002613,Atlantic Metals Mobile 4-Shelf Bookcases; Custom Colors,224.78,5,2024-12-13
24,FUR-BO-10002824,Bush Mission Pointe Library,150.98,5,2024-12-13
25,FUR-BO-10002853,OSullivan 5-Shelf Heavy-Duty Bookcases,65.55,5,2024-12-13
26,FUR-BO-10002916,Rush Hierlooms Collection 1 Thick Stackable Bookcases,170.98,5,2024-12-13
27,FUR-BO-10003034,OSullivan Elevations Bookcase; Cherry Finish,111.33,5,2024-12-13
28,FUR-BO-10003159,Sauder Camden County Collection Libraries; Planked Cherry Finish,91.98,5,2024-12-13
29,FUR-BO-10003272,OSullivan Living Dimensions 5-Shelf Bookcases,176.78,5,2024-12-13
30,FUR-BO-10003404,Global Adaptabilites Bookcase; Cherry/Storm Gray Finish,430.98,5,2024-12-13
31,FUR-BO-10003433,Sauder Cornerstone Collection Library,15.49,5,2024-12-13
32,FUR-BO-10003441,Bush Westfield Collection Bookcases; Fully Assembled,85.83,5,2024-12-13
33,FUR-BO-10003450,Bush Westfield Collection Bookcases; Dark Cherry Finish,17.39,5,2024-12-13
34,FUR-BO-10003546,Hon 4-Shelf Metal Bookcases,70.69,5,2024-12-13
35,FUR-BO-10003660,Bush Cubix Collection Bookcases; Fully Assembled,66.29,5,2024-12-13
36,FUR-BO-10003893,Sauder Camden County Collection Library,97.73,5,2024-12-13
37,FUR-BO-10003894,Safco Value Mate Steel Bookcase; Baked Enamel Finish on Steel; Black,49.69,5,2024-12-13
38,FUR-BO-10003965,OSullivan Manor Hill 2-Door Library in Brianna Oak,123.07,5,2024-12-13
39,FUR-BO-10003966,Sauder Facets Collection Library; Sky Alder Finish,145.33,5,2024-12-13
40,FUR-BO-10004015,Bush Andora Bookcase; Maple/Graphite Gray Finish,101.99,5,2024-12-13
41,FUR-BO-10004218,Bush Heritage Pine Collection 5-Shelf Bookcase; Albany Pine Finish; *Special Order,119.83,5,2024-12-13
